,Product,Name,Rating,CommentHead,Comment
0,vivo,Anupamashree Manna,5,Fabulous!,This is a fully overload phone... With full of speed and a great price of money.. I just love this phone.. 1st is best camera2nd is fast indisplay fingerprint3rd this cool looks4th it's fast performance for gaming alsoIt's a great deal for a photographer as well as this sound recording is too real.All are out of mind...😍😍
1,vivo,AVINASH KUMAR,5,Just wow!,"superb quality, amazing picture, good in appearance, long lasting battery, a full worthy package...."
2,vivo,MAHESHWARAN.K,5,Fabulous!,"Nice Mobile under this price segment. Good Battery, it lasts more than a day. Worth to buy it. On time delivery from Flipkart. Thanks."
3,vivo,Dhananjay Shukla,5,Terrific purchase,"if you think that money can't buy happiness that you are wrong, just go for vivo Z1 x that will give you a joy it's mind blowing deal before purchasing this I seen a lots of video on YouTube I was worried that it will not compete with realme XT but Z1x never makes a gimmick of camera like othersits a full package of dhamaka camera 10 out of 10 processor 10 out of 10 display 10 out of 10 battery 10 out of 10 it has everything that what you're looking for and one more thing that you can'..."
4,vivo,Sonali Badad,5,Wonderful,Review after 3 months amazing features. Long lasting  battery i just changed it once in morning till night its 45% after heavy use of application download playing games playing wink songs using camera if going for outings/hangout for the day its battery gives you perfect day balance battery... Camera is amazing ❤️🖤... Perfect picture qualityI use it for photoshoot.Thanks for fast delivery by filpkart and I am not fan of Vivo but the mobile battery performance not getting hot even on so muc...
5,vivo,Flipkart Customer,5,Worth every penny,very nice mobile.. switched to Android after years. the phone is good in all aspects. my friend's are astonished to see the screen clearity and camera. 100 percent power full.
6,vivo,Sanjay Jethe,5,Brilliant,"Under 20k it's a good option, overall getting satisfied performance.Display Quality is best at this price range.Fun Touch OS having better touch than Color OS and MI UI"
7,vivo,Benson Antony,5,Highly recommended,"I clearly knew abt Z1x and XT, yet I chose Vivo.. I just wanted a trusted brand as I'm investing 17k.. In YouTube and Online sitesthey are only boosting relme.. I really think those are heavy paid reviews.. if u observe closely u will realise it.. I'm going with my experience.. not by just word of mouth and I'm delighted with the first impression itself.. using more than 22hrs I feel Z1x is value for money!"
8,vivo,Kumar Vikramaditya,3,Nice,Excellent photography in day light and more than good in night from both front and back camera. Good battery. Good sAmoled screen and Funtouch UI but not better than samsung sAmoled screen and ONE UI. Need some improvement in UI and add more amoled supported function like samsung ONE UI. Excellent flash charging much much better than every phone in this range.
9,vivo,Flipkart Customer,5,Terrific purchase,"After 2 days of ""heavy usage""1. Battery is owsm & it may last for complete day for heavy users2. 5 stars to display3. For me dedicated sd card slot or hybrid slot is not an issues so it depends on your priorities so it's not a drawback4. On screen fingerprint sensor work like butter & even faster than most of rear fingerprint sensors5. Usually I don't review any product after purchase but this time I thought that when I want to purchase any product then my first priority will be Rev..."
10,vivo,No Name,No Rating,No Comment Heading,"After 2 days of ""heavy usage""1. Battery is owsm & it may last for complete day for heavy users2. 5 stars to display3. For me dedicated sd card slot or hybrid slot is not an issues so it depends on your priorities so it's not a drawback4. On screen fingerprint sensor work like butter & even faster than most of rear fingerprint sensors5. Usually I don't review any product after purchase but this time I thought that when I want to purchase any product then my first priority will be Rev..."
